Organization Name,Organization Id,Organization Address 1,Organization City,Organization State,Organization Postal Code,Applicant County,Latitude,Longitude
The Automotive Free Clinic,2af78b75-0fa4-45e7-ae8a-e8267a27856e,1813 Winona Avenue,Montgomery,AL,36107,Autauga
Faith in Action Alabama,29734c7c-2c3b-4b00-92a3-e2c266d0517f,2100 4th Ave N,Birmingham,AL,35203,Jefferson
Transform Alabama,ff1d8912-95be-4414-bb76-720b9ee2d02d,1023 SHADY LANE CIR,TALLADEGA,AL,35160,Talladega
Alabama Election Protection Network,fc4eb664-fee4-4454-8a63-aef81e59befb,112 Steele Street,Huntsville,AL,35801,Madison
Alabama Values,73c6db5e-6200-4abf-8379-9768338a14d6,7956 Vaughn Rd PMP# 180,Montgomery,AL,36116,Montgomery
Soul Seniors of Alabama,86fbd843-e7ef-4207-a505-3ea038c0b643,200 Town Madison Blvd,Madison,AL,35758,Madison
Mi Familia Vota Education Fund,6d3bdf81-c64a-4b49-9bad-7678211bf42a,3030 North Central Avenue #900,Phoenix,TX,85012,Clarke
Harriet Tubman Freedom Fighters Corp.,e8260487-e561-4aec-9bf8-aedef6ee7b55,5310 Lenox Ave Ste 22,Jacksonville,FL,32205,Duval
"Farmworkers Self-Help, Inc.",9336eb25-81cf-4f86-b6e6-10932617eb49,37240 Lock Street,Dade City,FL,33523,Pasco 
WOMEN WORKING TOGETHER USA,ae8f98b6-6112-424e-8030-8f2e11aef8c2,5715 White Hickory Cir,Tamarac,FL,33319,Broward
League of Women Voters of Florida,ab46fae0-f134-4e70-a9a5-0a47ae2c0d09,P.O. Box 1911,Orlando,FL,32801,Orange
"Women of Purpose Global Ministries, Inc.",f03fdaf6-3c7e-4a6d-9934-0c4dfdc20073,1400 Clay Ave SW,Cairo,GA,39828,Grady
Newtown Florist Club Inc.,12f0d3b2-98fd-425a-b839-add110408416,1064 Desota Street,GAINESVILLE,GA,30501,Hall
"Vision of Hope Coaching and Mentoring, LLC",25bf30c6-aeab-43c7-afba-d562a1e8311f,1003 Pineview Drive,Valdosta,GA,31602,Lowndes
Thy Kingdom Come Ministries,b20611f7-cbdc-4d32-abcb-dbcfa6e77b65,402 Colton Avenue,Thomasville,GA,31792,Thomas
"AAPI OUTREACH & ENGAGEMENT, LLC",e6900add-ce62-4edc-9957-6c1c9c512a70,11632 DAVENPORT LN,JOHNS CREEK,GA,30005,Fulton
Georgia Muslim Voter Project,5bc49234-fe62-4a95-9772-b2e20879ce68,5680 Oakbrook Parkway Suite 145,Norcross,GA,30093,Gwinnett
Migrant Equity Southeast,1294fbac-fd5e-4c50-af3c-befadc9fe049,1305 BARNARD STREET POBOX 651,Savannah,GA,31401,Chatham 
Westside Sponsoring Committee,32910ad4-4e89-4295-a89b-d095e57cc104,1520 Thomas H. Delpit Dr,Baton Rouge,LA,70802,Pointe Coupee
Ripe for Victory,5b0d2f0b-4ff1-46d4-a191-3c2852047fa2,2900 Westfork Drive,Baton Rouge,LA,70827,East Baton Rouge
Miss Lou Progress,c2d8660e-cdbb-4eff-a29c-591827582bda,708 Falcon Ave.,Sicily Island,LA,71368,Caddo
Crescent City Media Group,a35f9695-20f8-4ccc-a528-6763a604d0b2,6803 Press Dr Ste 160/162,New Orleans,LA,70126,Orleans
Louisiana Organization for Refugees and Immigrants,c3603855-0476-4636-a6ab-8609c4e1d58d,1120 Government Street Bldg. E,Baton Rouge,LA,70802,East Baton Rouge
Intergenerational Guidance Group,1716ce41-4b4e-4435-847f-53686d898476,2818 Monroe Street,New Orleans,LA,70118,Orleans
"Action Communication and Education Reform, Inc.",5f5e5df2-6141-4551-b0c0-8e6c0db56919,610 Head Start Street,Duck Hill,MS,38925,Montgomery
"COUNTYWIDE FAMILY DEVELOPMENT CENTER, INC",1876c365-77da-4eeb-9617-3229593e7905,400 CENTRAL AVENUE SUITE 105,LAUREL,MS,39441,JONES
Helping Hands Community Outreach Services,659b3726-0838-4222-9386-a2bf596978b1,108 Horseshoe Circle,Jackson,MS,39203,Hinds
"We Must Vote, LLC",5b3f19a4-ddd3-4bc0-beef-e46140b438b4,157 Rockbridge Circle,Clinton,MS,39056,Hinds
Montgomery Citizens United for Prosperity,766316de-f744-459d-8322-112460c44986,P.O. Box 141,Duck Hill,MS,38925,Montgomery
"MS M.O.V.E., inc.",89a3a978-b6a0-48ea-b3ff-5ee32cb5e5b0,"501 West County Line rd, Suite C",Tougaloo,MS,39174,Hinds
Southern Rural Black Women's Initiative,32d033cf-3e5c-4267-b470-df1dcd8a4a9f,P.O. Box 11437,Jackson,MS,39283,Hinds
Go Gulfport,44d4b52e-cccd-40d4-86cd-72ae622120cd,1339 19th Street,Gulfport ,MS,39501,Harrison
Fannie Lou Hamer Center For Change,f56d3925-e9b5-49f8-a8b8-94d0739709dc,2981 lollars grove road,Eupora,MS,39744,webster
MS Black Women's Roundtable,935f1c25-0717-436c-8538-36c1f26cd5bb,200 N Congress Street,Jackson,MS,39201,Hinds
Montagnard Dega Association Inc.,4f779011-ba58-434b-ab5f-31f885702271,611 Summit Ave. Suite 10,Greensboro,NC,27405,Guilford
Future Alamance,75ba5eee-98cd-479a-a3d4-503de14b0c95,P.O. Box 2333,Burlington,NC,27216,Alamance
LWV Wake County North Carolina,bbdf71d2-8a61-4f50-a0a6-f8f374915e6c,3509 Haworth Dr. Ste. 306,RALEIGH,NC,27609,Wake
Latino Advocacy Coalition of Henderson County,1c34f5e3-0f1f-467c-8d8a-e5570347ed08,508 N. Grove Street,Hendersonville,NC,28792,Henderson
Asheboro Latinxs Services,b4033562-4de4-4832-91c4-e0d61bec2540,943 S. Park St,Asheboro,NC,27203,Randolph
NC One Hundred Strong Inc,e1d679de-6e3c-478e-a53d-a2aba0a258e1,PO BOX 1391,Reidsville,NC,27323,NC
North Carolina Asian Americans Together,4a136b35-3f10-4077-b458-a9539d65a7fa,"711 Hillsborough Street, Suite 102",Raleigh,NC,27603,Wake
Seeds Of H.O.P.E cdc,81f9388c-98f3-4253-96e7-24ff8b7e0c27,505 swann dr,Lumberton,NC,28358,Robeson
RREPS (Recidivism Reduction Educational Program Services),3c5d3bdd-aba9-4cda-b69c-0b1bc0023aa4,3220 Burntwood Circle,Raleigh,NC,27610,Wake
Men and Women United for Youth & Families,eaff5ec0-3ae4-423b-a752-1797796e45ff,25805 Andrew Jackson Hwy,Delco,NC,28436,Columbus
Casa Azul De Wilson,5b247129-24f4-4c22-ab7c-a3bf9d23c063,Po Box 2134,Wilson,NC,27893,Wilson
Disability Rights North Carolina,dc1345ff-158c-43c5-a9a6-9f38701bab52,3724 National Dr Suite 100,Raleigh,NC,27612,Wake
Kinston Lenoir County NAACP,3a17af63-fe50-4b5c-8c62-f52a17ffa99d,PO Box 805,Kinston,NC,28502,Lenoir
JUSTICE SERVED NC INC,02b20e07-fa5f-4732-9206-9c5dee9e4289,PO Box 37374,Raleigh,NC,27627,Wake
Bayard Rustin LGBTQ APRI,67187fb9-7e61-4b4b-9797-0da22d22b3d8,1408 Hillsborough Street,Raleigh,NC,27605,Wake
Minister's Conference of Winston-Salem and Vicinity,7299f9ef-7f6d-47ea-a187-520bacb5f16d,P.O. Box 12102,Winston Salem,NC,27117,Forsyth 
Raleigh Youth Chapter APRI,98ff83b5-eeab-40fd-b852-d326ad0cfb86,1408 Hillsborough St,Raleigh,NC,27605,Wake
"Fayetteville Alumnae Chapter of Delta Sigma Theta Sorority, Incorporated",98b093b9-4295-43fc-877f-f9a686876ea4,P.O. Box 403,Fayetteville,NC,28312,Cumberland
Valores,434804ac-95e2-43a3-8664-b6a52ffb3e67,2633 White Oak Dr,Burlington,NC,27215,Alamance
Immersion for Spanish Language Acquistion,de74bd68-927b-4cf4-a7cb-22cf687c19ff,3326 Durham-Chapel Hill Blvd,Durham,NC,27770,Durham
"The Family Unit, Inc.",b0349fa6-26a8-4d1b-a4c6-fee2550b8b95,2 Aubrey Circle,Sumter,SC,29153,Sumter 
South Carolina Coalition for Voter Participation,deae97f0-149f-431b-89aa-5ae01dde0429,Post Office Box 71502,North Charleston,SC,29415,Charleston
"Matthews Management, LLC",dc504d75-0603-4f2d-bb41-2eedecafb7aa,825 Bleeker Lane,West Columbia,SC,29619,Lexington
SC Counts,b3562526-bae7-4488-b0cb-99b53c5038f6,PO Box 7187,Columbia,SC,29201,Richland
Upstate Action Alliance,3e507329-af71-401a-87eb-5f9847c4db4a,355 Faulkner Dr,Moore,SC,29369,Spartanburg
Tnovsa Global Commons,2a48b691-7b2a-43c3-99d7-376452bf7717,P O Box 50055,Columbia,SC,29250,Richland
Scholar Connections,9603038c-fff0-42cb-a87e-985344bfadc4,1112 Mason Hill Way,Spartanburg,SC,29301,Spartanburg
Organize Tennessee,26f51a7a-9ac6-4c70-88be-d741064f94d4,2816 Pinebrook Trail,Antioch ,TN,37013,Shelby
Elmahaba Center,f1891eb1-f4db-4754-9202-b881deb1673d,701 Murfreesboro Pike,Nashville,TN,37210,Davidson 
Tennessee Immigrant and Refugee Rights Coalition (TIRRC),dc4c3d2d-acae-453d-9e88-6dd1957483dc,3310 Ezell Red,Nashville,TN,37211,Davidson
Black Clergy Collaborative of Memphis,0c55a4a0-1ea7-4202-a3a5-3a0efada1707,8220 EAST SHELBY DRIVE,MEMPHIS,TN,38125,Shelby 
UnifiEd,ca3a93d8-ec6e-4ac2-800e-4640d7d65ae4,PO Box 5503,Chattanooga,TN,37406,Hamilton
Hamilton County Voters Coalition,896269ef-40e2-40fa-8634-e1495799927a,6957 Tiffany Lane,Chattanooga,TN,37412,Hamilton 
The Brothers Round Table,d3be1899-250d-4daa-b5bc-60cca2056011,3620 Buena Vista Pike Suite E,Nashville,TN,37207,Davidson 
Chattanooga Hamilton County NAACP,5ef8009d-eaea-4ea1-b368-413cc0692cf7,P O Box 3226,Chattanooga,TN,37404,Hamilton
NOAH (Nashville Organized for Action and Hope),fa6231dd-13d6-4b83-b864-9d5fc99db8cc,P.O. Box 331144,Nashville,TN,37203,Davidson
Young Black Lawyers' Organizing Coalition (YBLOC),756f00c2-2da4-468a-b7fd-56ce8c6f0aae,1808 S Good Latimer Expressway,Dallas,TX,75226,Dallas
El Paso Civic Education Organization,8a61da50-8059-4e27-bda7-3579d65be418,1415 Dakota St,El Paso,TX,79930,El Paso
Tecolotl,504bd591-23b9-4523-9626-1489463851be,221 W. Twickenham Trl,Houston,TX,77076,Harris
Woori Juntos,42368386-6510-403a-95fd-04a887e32b01,1809 Hollister St. Suite C202,Houston,TX,77080,Harris 
Pure Justice,03f87608-f388-48c6-8efb-b58b8708d1b0,4530 W. 34th Street,Houston,TX,77092,Harris
Dallas Area Interfaith,0d3d13b1-32ee-44be-be7b-cfeff1323238,1104 Lupo Dr,Dallas,TX,75207,Dallas 
SAAVETX Education Fund,d4eba220-ce06-4e8c-80b4-76330bb7997f,5841 Berkshire,Dallas,TX,75209,Dallas
Valley Interfaith Leadership and Education Council (VILEC),cc224a08-4a85-4678-beb4-a73918236e21,417 S. Ohio Ave,Mercedes,TX,78570,Hidalgo 
Radical Registrars,6f8fb6ed-b51a-4081-bb77-f80848e45991,3846 River Falls,San Antonio,TX,78259,Bexar
National Korean American Service & Education Consortium (NAKASEC),62ad2a2b-89ba-407b-8b1f-005c75e7a334,6715 Little River Turnpike,Annandale,VA,22003,Fairfax 
Virginia Coalition for Immigrant Rights,c23fe035-04b6-4531-a86c-4dff3b4a058d,PO Box 8042,Alexandria,VA,22306,None
The Activated People,aae30462-f614-4f22-b5a4-ea309a9199d4,12703 Longleaf Lane,Herndon,VA,20170,Fairfax 